description,category,source_category,subcategory,solution,source
ABS warning light on; Brake pedal pulsation,Fren,ABS System,ABS Control Module,Likely component: ABS Control Module. Diagnostic path: Check ABS fuse → Inspect wiring to ABS module.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
ABS light stays on; Erratic speedometer,Fren,ABS System,ABS Wheel Speed Sensor,Likely component: ABS Wheel Speed Sensor. Diagnostic path: Inspect wheel speed sensor connections → Check wheel speed sensor for debris or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Spongy brake pedal; Hard brake pedal,Fren,ABS System,Brake Booster,Likely component: Brake Booster. Diagnostic path: Check brake booster vacuum hose → Test brake booster vacuum pressure.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Brake pulling to one side; Brake dragging,Fren,ABS System,Brake Caliper,Likely component: Brake Caliper. Diagnostic path: Inspect brake caliper for leaks → Check brake caliper piston operation.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Brake fluid leak; Soft brake pedal,Fren,ABS System,Brake Hose,Likely component: Brake Hose. Diagnostic path: Inspect brake hose for cracks or leaks → Pressure test brake hose.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Spongy brake pedal; Brake fluid leaks,Fren,ABS System,Brake Master Cylinder,Likely component: Brake Master Cylinder. Diagnostic path: Check brake fluid level in master cylinder → Inspect master cylinder for leaks or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Squealing brakes; Brake pedal pulsation,Fren,ABS System,Brake Pad,Likely component: Brake Pad. Diagnostic path: Check brake pad thickness → Inspect brake pad condition.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Brake pedal pulsation; Steering wheel vibration,Fren,ABS System,Brake Rotor,Likely component: Brake Rotor. Diagnostic path: Measure brake rotor thickness → Inspect brake rotor for scoring or warping.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Spongy brake pedal; Brake dragging,Fren,ABS System,Brake Shoe & Drum,Likely component: Brake Shoe & Drum. Diagnostic path: Inspect brake shoes for wear → Check brake drum for scoring or cracks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
No cold air from vents; Loud noise when AC is on,Klima,Air Conditioning System,AC Compressor,Likely component: AC Compressor. Diagnostic path: Check AC compressor clutch operation → Inspect AC compressor for leaks or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Warm air from AC vents; AC system not cooling,Klima,Air Conditioning System,AC Condenser,Likely component: AC Condenser. Diagnostic path: Inspect AC condenser for debris or blockage → Check for leaks in AC condenser.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Musty odor from vents; Weak airflow from vents,Klima,Air Conditioning System,AC Evaporator,Likely component: AC Evaporator. Diagnostic path: Inspect AC evaporator for mold or mildew buildup → Check AC evaporator temperature sensor.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Warm air from vents; Low AC system pressure,Klima,Air Conditioning System,AC Recharge,Likely component: AC Recharge. Diagnostic path: Check AC system pressure with gauge → Inspect for leaks in AC system.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
AC system not working; Unusual noise from AC system,Klima,Air Conditioning System,Air Conditioning Diagnosis,Likely component: Air Conditioning Diagnosis. Diagnostic path: Perform AC system diagnostic scan → Check AC system components for proper operation.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Musty odor from vents; Reduced airflow from vents,Klima,Air Conditioning System,Cabin Air Filter,Likely component: Cabin Air Filter. Diagnostic path: Inspect and replace cabin air filter → Check for debris in cabin air intake.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
No air from vents; Loud noise from HVAC system,Klima,Air Conditioning System,Heater Blower Motor,Likely component: Heater Blower Motor. Diagnostic path: Test blower motor operation → Inspect blower motor for debris or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
HVAC fan speed erratic; HVAC fan only works on certain settings,Klima,Air Conditioning System,Heater Blower Motor Resistor,Likely component: Heater Blower Motor Resistor. Diagnostic path: Test blower motor resistor continuity → Inspect resistor for overheating or burn marks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine overheating; Coolant leaks under the vehicle,Motor,Cooling System,Coolant/Antifreeze,Likely component: Coolant/Antifreeze. Diagnostic path: Check coolant level and condition → Inspect radiator and hoses for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Visible coolant puddle under vehicle; Coolant odor in cabin,Motor,Cooling System,Coolant Leak Diagnosis,"Likely component: Coolant Leak Diagnosis. Diagnostic path: Pressure test cooling system → Inspect radiator, hoses, and water pump for leaks.",Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine overheating; Temperature gauge in red zone,Motor,Cooling System,Engine Cooling System,Likely component: Engine Cooling System. Diagnostic path: Check radiator for blockage or damage → Test thermostat operation.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
No heat from vents; Sweet smell in cabin,Motor,Cooling System,Heater Core,Likely component: Heater Core. Diagnostic path: Inspect heater core for leaks → Check coolant flow through heater core.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Coolant odor in cabin; Visible coolant leak under vehicle,Motor,Cooling System,Heater Hose,Likely component: Heater Hose. Diagnostic path: Inspect heater hose connections → Pressure test heater hoses.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine overheating; AC not cooling at idle,Motor,Cooling System,Radiator/Cooling Fan,Likely component: Radiator/Cooling Fan. Diagnostic path: Test radiator fan operation → Inspect radiator fan motor and relay.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Coolant leak under vehicle; Visible wear/cracks on hoses,Motor,Cooling System,Radiator Hose,Likely component: Radiator Hose. Diagnostic path: Inspect radiator hoses for damage → Check hose connections for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine overheating; Coolant leak near front of engine,Motor,Cooling System,Water Pump,Likely component: Water Pump. Diagnostic path: Inspect water pump for leaks → Test water pump for proper operation.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Whining noise from drivetrain; Difficulty shifting gears,Şanzıman,Drivetrain,Bevel Gears,Likely component: Bevel Gears. Diagnostic path: Inspect bevel gears for wear or damage → Check gear oil level and condition.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Vehicle binding on turns; Noise from drivetrain while turning,Şanzıman,Drivetrain,Center Differential,Likely component: Center Differential. Diagnostic path: Inspect center differential fluid → Check for excessive play in center differential.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Clutch pedal feels loose; Difficulty engaging gears,Şanzıman,Drivetrain,Clutch Cable,Likely component: Clutch Cable. Diagnostic path: Inspect clutch cable for fraying or stretching → Adjust clutch cable tension.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Clutch pedal feels spongy; Fluid leak near clutch pedal,Şanzıman,Drivetrain,Clutch Slave Cylinder,Likely component: Clutch Slave Cylinder. Diagnostic path: Check clutch slave cylinder for leaks → Inspect clutch fluid level and condition.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Whining noise from rear end; Vehicle vibration at high speeds,Şanzıman,Drivetrain,Differential,Likely component: Differential. Diagnostic path: Inspect differential fluid level and condition → Check for differential bearing wear.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Axle noise while turning; Vehicle leans to one side,Şanzıman,Drivetrain,Live Axle,Likely component: Live Axle. Diagnostic path: Inspect live axle for cracks or bending → Check axle bearings for wear.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Vehicle bounces over bumps; Loud noise from rear axle,Şanzıman,Drivetrain,Rigid Axle,Likely component: Rigid Axle. Diagnostic path: Inspect rigid axle for cracks or damage → Check axle bearings for wear.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Transmission slipping; Delay in gear engagement,Şanzıman,Drivetrain,Slushbox,Likely component: Slushbox. Diagnostic path: Check transmission fluid level and condition → Inspect transmission for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Driveline vibration; Clunking noise when shifting,Şanzıman,Drivetrain,Universal Joint,Likely component: Universal Joint. Diagnostic path: Inspect universal joint for wear or play → Check driveline alignment.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Vehicle binding during turns; Noise from drivetrain while turning,Şanzıman,Drivetrain,Viscous Coupling,Likely component: Viscous Coupling. Diagnostic path: Test viscous coupling operation → Inspect viscous coupling fluid.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine cranks slowly; Clicking sound when starting,Elektrik,Electrical System,Battery Replacement,Likely component: Battery Replacement. Diagnostic path: Test battery voltage → Inspect battery terminals for corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Battery warning light on; Dim headlights,Elektrik,Electrical System,Charging System,Likely component: Charging System. Diagnostic path: Test alternator output → Check alternator belt tension.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Check engine light on; Poor engine performance,Elektrik,Electrical System,Check Engine Light Diagnosis,Likely component: Check Engine Light Diagnosis. Diagnostic path: Scan for diagnostic trouble codes (DTCs) → Check sensors related to DTCs.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Window does not move; Window moves intermittently,Elektrik,Electrical System,Door Window Motor,Likely component: Door Window Motor. Diagnostic path: Test power to window motor → Inspect window regulator for damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Window off track; Window stuck in one position,Elektrik,Electrical System,Door Window Regulator,Likely component: Door Window Regulator. Diagnostic path: Inspect window regulator mechanism → Check window alignment in tracks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Headlight not working; Dim headlight,Elektrik,Electrical System,Headlamp Bulb,Likely component: Headlamp Bulb. Diagnostic path: Inspect headlamp bulb for filament condition → Check headlamp socket for corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Difficulty starting engine,Elektrik,Electrical System,Ignition Distributor Cap,Likely component: Ignition Distributor Cap. Diagnostic path: Inspect distributor cap for cracks or carbon tracks → Check distributor rotor for wear.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Poor fuel economy,Elektrik,Electrical System,Ignition Wire Set,Likely component: Ignition Wire Set. Diagnostic path: Test ignition wires for continuity → Inspect spark plug boots for damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Door lock not responding; Clicking sound from door,Elektrik,Electrical System,Power Door Lock Actuator,Likely component: Power Door Lock Actuator. Diagnostic path: Test power to door lock actuator → Inspect actuator mechanism for obstruction.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine does not crank; Clicking sound when key is turned,Elektrik,Electrical System,Starter Motor,Likely component: Starter Motor. Diagnostic path: Test starter motor solenoid → Inspect starter motor brushes for wear.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
No washer fluid spray; Weak washer fluid spray,Elektrik,Electrical System,Windshield Washer Pump,Likely component: Windshield Washer Pump. Diagnostic path: Test power to washer pump → Inspect washer pump for clogs or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Wipers not working; Wipers operate intermittently,Elektrik,Electrical System,Wiper Motor,Likely component: Wiper Motor. Diagnostic path: Test power to wiper motor → Inspect wiper motor linkage for wear.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Check engine light on; Rough idle,Egzoz,Emissions System,Canister Purge Valve,Likely component: Canister Purge Valve. Diagnostic path: Test canister purge valve operation → Check for leaks in purge valve hoses.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Rotten egg smell from exhaust; Check engine light on,Egzoz,Emissions System,Catalytic Converter,Likely component: Catalytic Converter. Diagnostic path: Inspect catalytic converter for physical damage → Check catalytic converter efficiency.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Fuel odor from vehicle; Check engine light on,Egzoz,Emissions System,Charcoal Canister,Likely component: Charcoal Canister. Diagnostic path: Test charcoal canister purge valve → Inspect canister for cracks or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Loud exhaust noise; Exhaust smell in cabin,Egzoz,Emissions System,Exhaust Manifold,Likely component: Exhaust Manifold. Diagnostic path: Inspect exhaust manifold for cracks or leaks → Check exhaust manifold gasket for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Loud exhaust noise; Visible exhaust leaks,Egzoz,Emissions System,Exhaust Manifold Gasket,Likely component: Exhaust Manifold Gasket. Diagnostic path: Inspect exhaust manifold gasket for leaks → Check exhaust manifold bolts for tightness.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Check engine light on; Gas cap warning light,Egzoz,Emissions System,Fuel Tank Pressure Sensor,Likely component: Fuel Tank Pressure Sensor. Diagnostic path: Test fuel tank pressure sensor → Check fuel tank cap for proper seal.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine knocking/pinging; Poor fuel economy,Egzoz,Emissions System,Knock Sensor,Likely component: Knock Sensor. Diagnostic path: Test knock sensor operation → Inspect for engine misfire codes.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Check engine light on; Rough idle,Egzoz,Emissions System,M.A.P. Sensor,Likely component: M.A.P. Sensor. Diagnostic path: Test M.A.P. sensor voltage → Inspect M.A.P. sensor vacuum hose.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Check engine light on; Poor fuel economy,Egzoz,Emissions System,Oxygen Sensor,Likely component: Oxygen Sensor. Diagnostic path: Test oxygen sensor voltage → Inspect oxygen sensor wiring for damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine vibration; Rough idle,Motor,Engine Components,Balance Shaft,Likely component: Balance Shaft. Diagnostic path: Inspect balance shaft for wear or damage → Check balance shaft alignment.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Loss of power; Turbo lag,Motor,Engine Components,Boost Pressure,Likely component: Boost Pressure. Diagnostic path: Check boost pressure with gauge → Inspect intercooler for leaks or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Black smoke from exhaust,Motor,Engine Components,Diesel Injection Pump,Likely component: Diesel Injection Pump. Diagnostic path: Test diesel injection pump pressure → Inspect diesel injectors for leaks or clogs.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Hard starting in cold weather; Glow plug indicator light stays on,Motor,Engine Components,Diesel Glow Plug,Likely component: Diesel Glow Plug. Diagnostic path: Test glow plug resistance → Inspect glow plug for carbon buildup.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Excessive engine movement; Clunking noise when accelerating,Motor,Engine Components,Engine Mounts,Likely component: Engine Mounts. Diagnostic path: Inspect engine mounts for wear or damage → Check mounting bolts for tightness.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Rough idle,Motor,Engine Components,Exhaust Valve,Likely component: Exhaust Valve. Diagnostic path: Inspect exhaust valve for carbon buildup → Check valve clearance.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Poor fuel economy,Motor,Engine Components,Fuel Injector,Likely component: Fuel Injector. Diagnostic path: Test fuel injector spray pattern → Inspect injector for leaks or clogs.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Erratic idle speed; Stalling at idle,Motor,Engine Components,Idle Air Control Valve,Likely component: Idle Air Control Valve. Diagnostic path: Test IAC valve for proper operation → Clean throttle body and IAC valve.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Rough idle,Motor,Engine Components,Intake Valve,Likely component: Intake Valve. Diagnostic path: Inspect intake valve for carbon buildup → Check valve clearance.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Low oil pressure warning light; Engine knocking noise,Motor,Engine Components,Oil Pump,Likely component: Oil Pump. Diagnostic path: Test oil pressure with gauge → Inspect oil pump for wear or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Blue smoke from exhaust; Loss of engine power,Motor,Engine Components,Piston Rings,Likely component: Piston Rings. Diagnostic path: Perform compression test → Inspect piston rings for wear or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Engine won't start,Motor,Engine Components,Timing Belt,Likely component: Timing Belt. Diagnostic path: Inspect timing belt for wear or damage → Check timing marks for alignment.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Oil leak around valve cover; Burning oil smell from engine bay,Motor,Engine Components,Valve Cover Gasket,Likely component: Valve Cover Gasket. Diagnostic path: Inspect valve cover gasket for leaks → Check valve cover bolts for tightness.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine overheating; Squealing noise from engine bay,Motor,Engine Components,Fan Belt,Likely component: Fan Belt. Diagnostic path: Inspect fan belt for cuts or wear → Check belt tension and alignment.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
No sound when horn button pressed,Elektrik,Electrical System,Horn,Likely component: Horn. Diagnostic path: Check horn fuse → Test horn relay for operation.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Battery warning light on; Low voltage,Elektrik,Electrical System,Battery Charging,Likely component: Battery Charging. Diagnostic path: Test battery voltage → Inspect alternator for proper operation.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine performance issues; Squealing noise from engine bay,Motor,Engine Components,Engine Belt,Likely component: Engine Belt. Diagnostic path: Inspect engine belt for cuts or wear → Check belt tension and alignment.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Noise when turning steering wheel,Direksiyon,Steering,Steering Noise,Likely component: Steering Noise. Diagnostic path: Inspect power steering fluid level → Check power steering pump and hoses for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Uneven tire wear; Vibration while driving,Şanzıman,Drivetrain,Shaft and Tires,Likely component: Shaft and Tires. Diagnostic path: Inspect shaft for balance and alignment → Check tire pressure and condition.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Decreased engine performance; Black smoke from exhaust,Motor,Engine Compartment,Air Filter,Likely component: Air Filter. Diagnostic path: Inspect air filter for clogs or dirt → Replace air filter if necessary.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Poor fuel economy,Motor,Engine Compartment,Engine Control Unit (ECU),Likely component: Engine Control Unit (ECU). Diagnostic path: Check ECU for fault codes → Inspect ECU wiring harness for damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Low oil pressure warning light; Loud engine noise,Motor,Engine Compartment,Engine Oil,Likely component: Engine Oil. Diagnostic path: Check engine oil level and condition → Inspect for oil leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine stalls at high speeds; Poor acceleration,Motor,Engine Compartment,Fuel Filter,Likely component: Fuel Filter. Diagnostic path: Inspect fuel filter for clogs or debris → Replace fuel filter if necessary.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Oil leaks; Rough idle,Motor,Engine Compartment,PCV Valve,Likely component: PCV Valve. Diagnostic path: Inspect PCV valve for clogs → Check PCV valve hose for cracks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Poor acceleration; Stalling at idle,Motor,Engine Compartment,Throttle Body,Likely component: Throttle Body. Diagnostic path: Inspect throttle body for carbon buildup → Test throttle position sensor (TPS).,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Poor fuel economy,Motor,Fuel System,Fuel Injector,Likely component: Fuel Injector. Diagnostic path: Test fuel injector spray pattern → Inspect injector for leaks or clogs.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine stalls; Black smoke from exhaust,Motor,Fuel System,Fuel Pressure Regulator,Likely component: Fuel Pressure Regulator. Diagnostic path: Test fuel pressure regulator operation → Check fuel pressure at regulator.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine sputters at high speeds; Loss of power,Motor,Fuel System,Fuel Pump,Likely component: Fuel Pump. Diagnostic path: Test fuel pump pressure → Inspect fuel pump for leaks or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Fuel odor inside vehicle; Visible fuel leak under vehicle,Motor,Fuel System,Fuel Tank,Likely component: Fuel Tank. Diagnostic path: Inspect fuel tank for leaks or damage → Check fuel filler cap for seal.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine hesitates on acceleration; Stalling at idle,Motor,Fuel System,Throttle Position Sensor,Likely component: Throttle Position Sensor. Diagnostic path: Test throttle position sensor (TPS) voltage → Inspect TPS wiring for damage or corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Soft brake pedal; Brake warning light on,Motor,Liquid Systems,Brake Fluid,Likely component: Brake Fluid. Diagnostic path: Check brake fluid level and condition → Inspect brake lines for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine overheating; Low coolant warning light,Motor,Liquid Systems,Coolant Reservoir,Likely component: Coolant Reservoir. Diagnostic path: Check coolant level in reservoir → Inspect reservoir for cracks or leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Whining noise when turning; Stiff steering wheel,Motor,Liquid Systems,Power Steering Fluid,Likely component: Power Steering Fluid. Diagnostic path: Check power steering fluid level → Inspect power steering hoses for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine overheating; Coolant leak,Motor,Liquid Systems,Radiator,Likely component: Radiator. Diagnostic path: Inspect radiator for leaks or damage → Check radiator cap for proper seal.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
No washer fluid spray; Weak washer fluid spray,Motor,Liquid Systems,Windshield Washer Fluid,Likely component: Windshield Washer Fluid. Diagnostic path: Check washer fluid level → Inspect washer fluid pump for operation.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Soft clutch pedal; Clutch slipping,Şanzıman,Transmission,Clutch Master Cylinder,Likely component: Clutch Master Cylinder. Diagnostic path: Check clutch fluid level → Inspect master cylinder for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Slipping gears; Shuddering during acceleration,Şanzıman,Transmission,Torque Converter,Likely component: Torque Converter. Diagnostic path: Inspect torque converter for leaks or damage → Check transmission fluid level and condition.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Gears slipping; Transmission overheating,Şanzıman,Transmission,Transmission Fluid,Likely component: Transmission Fluid. Diagnostic path: Check transmission fluid level and condition → Inspect transmission pan and seals for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Delayed shifting; Transmission slipping,Şanzıman,Transmission,Transmission Filter,Likely component: Transmission Filter. Diagnostic path: Inspect transmission filter for clogs or debris → Replace transmission filter if necessary.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Erratic shifting; Transmission won't shift gears,Şanzıman,Transmission,Transmission Solenoid,Likely component: Transmission Solenoid. Diagnostic path: Test transmission solenoids for electrical continuity → Inspect wiring harness for damage or corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Grinding noise from wheels; Uneven tire wear,Süspansiyon,Wheels & Tires,Wheel Bearing,Likely component: Wheel Bearing. Diagnostic path: Check wheel bearing for play → Inspect bearing for signs of damage or corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
TPMS warning light on; Low tire pressure,Süspansiyon,Wheels & Tires,Tire Pressure Monitoring System (TPMS),Likely component: Tire Pressure Monitoring System (TPMS). Diagnostic path: Check tire pressures with gauge → Inspect TPMS sensors for damage or corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Clicking or popping noise when turning; Wheel wobbling,Süspansiyon,Wheels & Tires,Wheel Hub,Likely component: Wheel Hub. Diagnostic path: Inspect wheel hub for play or bearing noise → Check wheel bearings for wear.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
